X-ray diffraction station at BSRF	Omega_2omega step mode	Wavelength(nm)=0.13807	2016/10/9 21:11:31
2Omega(degree)	Detector	InoChamber1	InoChamber2
31.48000	1220	74531	0
31.52000	1233	74524	0
31.56000	1237	74511	0
31.60000	1184	74507	0
31.64000	1119	74496	0
31.68000	1221	74500	0
31.72000	1172	74482	0
31.76000	1157	74487	0
31.80000	1202	74490	0
31.84000	1147	74494	0
31.88000	1231	74471	0
31.92000	1242	74479	0
31.96000	1242	74472	0
32.00000	1293	74472	0
32.04000	1331	74470	0
32.08000	1208	74463	0
32.12000	1225	74477	0
32.16000	1351	74456	0
32.20000	1296	74472	0
32.24000	1312	74462	0
32.28000	1318	74462	0
32.32000	1419	74460	0
32.36000	1419	74450	0
32.40000	1429	74475	0
32.44000	1393	74449	0
32.48000	1441	74476	0
32.52000	1548	74471	0
32.56000	1509	74455	0
32.60000	1577	74429	0
32.64000	1678	74433	0
32.68000	1614	74429	0
32.72000	1672	74431	0
32.76000	1645	74435	0
32.80000	1645	74440	0
32.84000	1540	74418	0
32.88000	1603	74407	0
32.92000	1488	74417	0
32.96000	1503	74407	0
33.00000	1501	74381	0
33.04000	1572	74394	0
33.08000	1451	74386	0
33.12000	1545	74389	0
33.16000	1566	74420	0
33.20000	1636	74447	0
33.24000	1785	74467	0
33.28000	2102	74493	0
33.32000	2539	74522	0
33.36000	3110	74556	0
33.40000	3984	74573	0
33.44000	4745	74607	0
33.48000	4549	74633	0
33.52000	3762	74669	0
33.56000	2853	74714	0
33.60000	2263	74729	0
33.64000	1900	74731	0
33.68000	1621	74705	0
33.72000	1466	74704	0
33.76000	1379	74724	0
33.80000	1376	74700	0
33.84000	1346	74691	0
33.88000	1253	74686	0
33.92000	1235	74679	0
33.96000	1329	74677	0
34.00000	1248	74720	0
34.04000	1245	74697	0
34.08000	1226	74680	0
34.12000	1171	74686	0
34.16000	1233	74690	0
34.20000	1217	74675	0
34.24000	1193	74691	0
34.28000	1260	74673	0
34.32000	1225	74664	0
34.36000	1280	74646	0
34.40000	1265	74643	0
34.44000	1343	74642	0
34.48000	1309	74636	0
34.52000	1333	74626	0
34.56000	1277	74637	0
34.60000	1320	74626	0
34.64000	1360	74634	0
34.68000	1393	74620	0
34.72000	1349	74604	0
34.76000	1286	74592	0
34.80000	1326	74609	0
34.84000	1307	74604	0
34.88000	1292	74581	0
34.92000	1178	74593	0
34.96000	1182	74593	0
35.00000	1182	74602	0
35.04000	1175	74591	0
35.08000	1143	74596	0
35.12000	1180	74589	0
35.16000	1174	74592	0
35.20000	1225	74572	0
35.24000	1205	74566	0
35.28000	1127	74572	0
35.32000	1120	74565	0
35.36000	1109	74567	0
35.40000	1168	74569	0
